"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/30 10:53:24 PM GMT+3","Женский","32","Высшее","Академический","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","От 5 до 10 километров","5","3","1","1","6","7","Спорт, отдых"
"2019/05/30 11:05:54 PM GMT+3","Женский","40","Высшее","Юго-запад","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 2 до 5 километров","4","7","4","4","10","10","Отличный досуг и фитнес"
"2019/05/30 11:38:16 PM GMT+3","Мужской","34","Высшее","Фили-Давыдково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Да, есть","Более 10 километров","6","3","4","1","10","10","Очень удобный вид транспорта и приятный досуг."
"2019/05/30 11:41:57 PM GMT+3","Мужской","27","Высшее","Сокольники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Нет","Да, есть","От 5 до 10 километров","8","2","5","2","5","6","Средство передвижения "
"2019/05/30 11:55:37 PM GMT+3","Мужской","49","Неоконченное высшее","ЦАО ЮВАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Нет","Да, есть","От 5 до 10 километров","5","5","3","3","8","8","Средство передвижения   в городе"
"2019/05/31 12:00:50 AM GMT+3","Женский","37","Высшее","Хорошево-Мневники ","Декрет ","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","6","5","10","1","10","7","Средство передвижение и отдых "
"2019/05/31 12:18:41 AM GMT+3","Женский","29","Высшее","Хорошево-Мневники","Домохозяйка, фрилансер","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","6","3","1","1","4","8","Вид семейного отдыха, спорт"
"2019/05/31 12:25:29 AM GMT+3","Мужской","53","Высшее","Якиманка","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Нет","От 5 до 10 километров","5","4","1","1","8","3","транспорт"
"2019/05/31 12:29:04 AM GMT+3","Женский","45","Высшее","Тропарево-Никулино ","Не работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","1","1","1","1","Дачный вариант. "
"2019/05/31 12:31:40 AM GMT+3","Женский","34","Высшее","ЮЗАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 2 до 5 километров","6","1","1","1","4","8","Досуг, положительные эмоции, физ нагрузка "
"2019/05/31 12:45:13 AM GMT+3","Женский","35","Высшее","сао","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Нет","Более 10 километров","7","2","1","1","8","7",""
"2019/05/31 12:54:57 AM GMT+3","Женский","50","Высшее","Басманный","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Нет","От 2 до 5 километров","8","1","1","1","9","5","Средство передвижения, тренажер, удовольствие"
